Model,Dataset,AUC mean,F1 mean,Precision mean,Recall mean,Brier mean,GLR mean,Hit@10,ECE,Reliability Score
Adaboost (Proposed),CM1,0.69,0.32,0.25,0.53,0.15,0.13,1.0,0.14,0.81
Adaboost (Proposed),MC1,0.87,0.29,0.21,0.52,0.02,0.42,1.0,0.02,0.9
Adaboost (Proposed),MC2,0.73,0.56,0.53,0.65,0.2,0.01,1.0,0.11,0.8
Adaboost (Proposed),MW1,0.7,0.35,0.44,0.36,0.09,0.09,1.0,0.09,0.82
Adaboost (Proposed),PC1,0.82,0.36,0.28,0.52,0.1,0.06,1.0,0.1,0.81
Adaboost (Proposed),PC2,0.6,0.06,0.04,0.12,0.01,0.33,1.0,0.01,0.88
Adaboost (Proposed),PC3,0.81,0.4,0.31,0.58,0.11,0.23,1.0,0.09,0.84
Adaboost (Proposed),PC4,0.93,0.61,0.56,0.7,0.08,0.17,1.0,0.05,0.85
CatBoost (Proposed),CM1,0.72,0.18,0.23,0.19,0.15,0.16,1.0,0.14,0.81
CatBoost (Proposed),MC1,0.97,0.49,0.47,0.53,0.01,0.25,1.0,0.0,0.87
CatBoost (Proposed),MC2,0.78,0.52,0.58,0.48,0.21,-0.01,1.0,0.18,0.77
CatBoost (Proposed),MW1,0.78,0.3,0.33,0.29,0.09,0.05,1.0,0.08,0.81
CatBoost (Proposed),PC1,0.86,0.36,0.39,0.39,0.07,0.07,1.0,0.06,0.82
CatBoost (Proposed),PC2,0.8,0.08,0.08,0.08,0.01,0.24,1.0,0.01,0.87
CatBoost (Proposed),PC3,0.83,0.42,0.48,0.38,0.09,0.09,1.0,0.07,0.83
CatBoost (Proposed),PC4,0.95,0.66,0.62,0.7,0.07,0.06,1.0,0.05,0.83
Extra Trees (Proposed),CM1,0.73,0.14,0.2,0.14,0.12,0.05,1.0,0.09,0.81
Extra Trees (Proposed),MC1,0.95,0.53,0.59,0.49,0.01,0.08,1.0,0.01,0.84
Extra Trees (Proposed),MC2,0.74,0.47,0.52,0.44,0.19,0.08,1.0,0.08,0.82
Extra Trees (Proposed),MW1,0.72,0.31,0.34,0.32,0.09,0.0,1.0,0.08,0.81
Extra Trees (Proposed),PC1,0.83,0.4,0.49,0.39,0.06,0.1,1.0,0.05,0.83
Extra Trees (Proposed),PC2,0.9,0.04,0.04,0.04,0.01,0.03,0.96,0.01,0.82
Extra Trees (Proposed),PC3,0.85,0.44,0.42,0.46,0.09,0.08,1.0,0.08,0.82
Extra Trees (Proposed),PC4,0.94,0.63,0.6,0.66,0.07,0.06,1.0,0.05,0.83
Gradient Boosting (Proposed),CM1,0.76,0.26,0.25,0.31,0.15,0.16,1.0,0.16,0.81
Gradient Boosting (Proposed),MC1,0.97,0.5,0.52,0.49,0.01,0.32,1.0,0.0,0.89
Gradient Boosting (Proposed),MC2,0.76,0.57,0.62,0.54,0.23,0.0,1.0,0.22,0.76
Gradient Boosting (Proposed),MW1,0.73,0.25,0.3,0.22,0.1,0.1,1.0,0.09,0.82
Gradient Boosting (Proposed),PC1,0.84,0.39,0.42,0.39,0.07,0.1,1.0,0.06,0.83
Gradient Boosting (Proposed),PC2,0.63,0.09,0.08,0.12,0.01,0.21,1.0,0.01,0.87
Gradient Boosting (Proposed),PC3,0.82,0.39,0.42,0.36,0.09,0.07,1.0,0.06,0.83
Gradient Boosting (Proposed),PC4,0.94,0.62,0.6,0.65,0.07,0.08,1.0,0.05,0.83
LightGBM (Proposed),CM1,0.76,0.31,0.4,0.32,0.15,0.17,1.0,0.15,0.81
LightGBM (Proposed),MC1,0.98,0.49,0.59,0.43,0.01,0.39,1.0,0.01,0.9
LightGBM (Proposed),MC2,0.73,0.51,0.53,0.5,0.25,0.14,1.0,0.24,0.78
LightGBM (Proposed),MW1,0.79,0.37,0.45,0.36,0.09,0.04,1.0,0.09,0.81
LightGBM (Proposed),PC1,0.86,0.35,0.48,0.31,0.07,0.29,1.0,0.07,0.86
LightGBM (Proposed),PC2,0.76,0.08,0.08,0.08,0.01,0.3,1.0,0.01,0.88
LightGBM (Proposed),PC3,0.83,0.37,0.42,0.33,0.1,0.18,1.0,0.1,0.83
LightGBM (Proposed),PC4,0.95,0.64,0.67,0.61,0.07,0.22,1.0,0.07,0.85
MLP (Proposed),CM1,0.69,0.24,0.25,0.24,0.17,0.08,1.0,0.17,0.8
MLP (Proposed),MC1,0.89,0.21,0.21,0.21,0.02,0.17,1.0,0.02,0.84
MLP (Proposed),MC2,0.69,0.55,0.65,0.48,0.24,0.03,1.0,0.14,0.82
MLP (Proposed),MW1,0.67,0.26,0.27,0.27,0.11,0.09,1.0,0.1,0.81
MLP (Proposed),PC1,0.76,0.29,0.35,0.27,0.1,0.09,1.0,0.1,0.81
MLP (Proposed),PC2,0.79,0.05,0.05,0.05,0.01,0.13,1.0,0.01,0.85
MLP (Proposed),PC3,0.74,0.32,0.4,0.28,0.12,0.15,1.0,0.11,0.84
MLP (Proposed),PC4,0.9,0.5,0.51,0.48,0.1,0.13,1.0,0.08,0.84
Random Forest (Proposed),CM1,0.73,0.23,0.3,0.24,0.13,0.08,1.0,0.11,0.81
Random Forest (Proposed),MC1,0.98,0.46,0.52,0.43,0.01,0.22,1.0,0.01,0.87
Random Forest (Proposed),MC2,0.73,0.47,0.54,0.44,0.19,0.02,1.0,0.08,0.81
Random Forest (Proposed),MW1,0.79,0.33,0.34,0.35,0.08,0.02,1.0,0.09,0.81
Random Forest (Proposed),PC1,0.87,0.42,0.44,0.42,0.07,0.01,1.0,0.07,0.81
Random Forest (Proposed),PC2,0.9,0.03,0.02,0.04,0.01,0.12,1.0,0.01,0.85
Random Forest (Proposed),PC3,0.84,0.39,0.38,0.41,0.09,-0.02,1.0,0.08,0.8
Random Forest (Proposed),PC4,0.94,0.63,0.6,0.66,0.07,0.06,1.0,0.05,0.83
XGBoost (Proposed),CM1,0.77,0.34,0.39,0.36,0.13,0.23,1.0,0.11,0.83
XGBoost (Proposed),MC1,0.97,0.48,0.56,0.44,0.01,0.07,1.0,0.0,0.84
XGBoost (Proposed),MC2,0.75,0.53,0.59,0.52,0.22,0.14,1.0,0.18,0.8
XGBoost (Proposed),MW1,0.79,0.31,0.4,0.3,0.08,0.15,1.0,0.08,0.83
XGBoost (Proposed),PC1,0.84,0.37,0.42,0.37,0.07,0.07,1.0,0.06,0.82
XGBoost (Proposed),PC2,0.75,0.04,0.04,0.04,0.01,0.27,1.0,0.01,0.88
XGBoost (Proposed),PC3,0.83,0.38,0.45,0.33,0.09,0.19,1.0,0.08,0.84
XGBoost (Proposed),PC4,0.95,0.64,0.66,0.61,0.07,0.12,1.0,0.05,0.84
